categoria,conteo_activos,categoria_limpia
AYUDANTE GENERAL,21,
AYUDANTE GENERAL INAH,7,
BANDERERO,7,
BECARIO,7,
CHECADOR,6,
OP EXCAVADORA,5,
OPERADOR DE EXCAVADORA,5,
VELADOR,5,
AYUDANTE GENERAL AMBIENTAL,4,
OP DE PIPA,4,
OP TRACTOR,4,
OFICIAL ALBAÑIL,3,
OP MOTONIVELADORA,3,
OP PIPA,3,
OP VIBROCOMPACTADOR,3,
TOPOGRAFO,3,
AFANADORA,2,
AYUDANTE DE ALBAÑIL,2,
CHOFER DE MARIMBA,2,
LAVA AUTOS,2,
MECANICO,2,
OP CARGADOR FRONTAL,2,
OP MOTOCONFORMADORA,2,
OP PATA DE CABRA,2,
OP. EXCAVADORA,2,
OP.EXCAVADORA,2,
OPERADOR DE RETROEXCAVADORA,2,
ALBAÑIL,1,
AUXILIAR ADMINISTRATIVO,1,
AUXILIAR DE VIVERO,1,
AYUDANTE DE SOLDADOR,1,
COORDINADOR AMBIENTAL,1,
COORDINADOR DE ESTIMACIONES,1,
OP CRIBA,1,
OP PAYLOADER,1,
OP RETROEXCAVADORA,1,
OP TRITURADORA,1,
OP. DE CRIBA,1,
OP. DE PIPA,1,
OP. DE TRITURADORA,1,
OP. DE VIBRO,1,
OP. PIPA,1,
OPERADOR DE MOTOCONFORMADORA,1,
OPERADOR DE PATA DE CABRA,1,
OPERADOR DE PIPA,1,
OPERADOR DE RETRO EXCAVADORA,1,
OPERADOR DE TRACTOR D6,1,
OPERADOR DE VIBROCOMPACTADORA,1,
POSTURERO,1,
RECEPCIONISTA,1,
SOBRESTANTE,1,
SOLDADOR,1,
